paper,plot_letter,protein,iex_type,resin,x,tis_M,kprime
2,c,lipolase,aex,Q Sepharose HP,5.0273,0.19891392994251386,1.1236
2,c,lipolase,aex,Q Sepharose XL,5.6313,0.17757888942162556,4.9593
2,c,lipolase,aex,Q Sepharose XL,5.0359,0.1985742369784944,3.5958
2,c,lipolase,aex,Q Sepharose XL,4.5772,0.21847417635235514,1.9301
2,c,lipolase,aex,Q Sepharose XL,4.1838,0.23901716143219084,1.0784
2,c,lipolase,aex,Q-Cellthru Bigbeads Plus,12.7746,0.07828033754481549,0.25603
2,c,lipolase,aex,Q-Cellthru Bigbeads Plus,11.9429,0.08373175694345594,0.17485
2,c,lipolase,aex,Q-Cellthru Bigbeads Plus,11.2919,0.08855905560623102,0.132
2,c,lipolase,aex,Q-Cellthru Bigbeads Plus,10.1513,0.09850955050092106,0.07832
2,c,lipolase,aex,Q-Cellthru Bigbeads Plus,7.7998,0.1282084156004,0.019998
2,c,lipolase,aex,Separon HemaBio 1000Q,8.4492,0.1183544004166075,3.679
2,c,lipolase,aex,Separon HemaBio 1000Q,7.7646,0.12878963501017437,1.8226
2,c,lipolase,aex,Separon HemaBio 1000Q,7.2184,0.138534855369611,1.1957
2,c,lipolase,aex,Separon HemaBio 1000Q,6.7484,0.1481832730721356,0.8165
2,c,lipolase,aex,Toyopearl QAE 550c,6.2951,0.15885371161697193,5.486
2,c,lipolase,aex,Toyopearl QAE 550c,5.6303,0.17761042928440757,4.3971
2,c,lipolase,aex,Toyopearl QAE 550c,5.03,0.19880715705765406,1.6121
2,c,lipolase,aex,Toyopearl QAE 550c,4.6002,0.21738185296291465,1.3185
2,c,lipolase,aex,Toyopearl QAE 550c,4.1823,0.2391028859718337,0.8477
2,c,lipolase,aex,Toyopearl QAE 550c,3.8659,0.2586719780646163,0.50305
2,c,lipolase,aex,Toyopearl SuperQ 650c,8.4581,0.11822986249866992,7.573
2,c,lipolase,aex,Toyopearl SuperQ 650c,7.7731,0.12864880163641276,3.8279
2,c,lipolase,aex,Toyopearl SuperQ 650c,7.2685,0.13757996835660727,3.008
